incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
26-Nov-16,Maryland,Sabillasville,6600 block of Eylers Valley Flint Road,1,0,N/A,Accidental,Adult
26-Nov-16,Ohio,Grand Rapids,SR Route 65,1,0,N/A,Accidental,Adult
24-Nov-16,New York,Sandy Creek,Kehoe Road,1,0,N/A,Accidental,Adult
24-Nov-16,Florida,Black Point,N/A,1,0,N/A,Accidental,Adult
23-Nov-16,Michigan,Powell Township,North 1311 County Road KCI,1,0,N/A,Accidental,Adult
23-Nov-16,West Virginia,Troy,Highway 47 West,1,0,N/A,Accidental,Adult
22-Nov-16,Indiana,Anderson,1600 block of West 7th Street,1,0,N/A,Accidental,Adult
22-Nov-16,Virginia,Christiansburg,700 block of Dabney Road,1,0,N/A,Accidental,Adult
22-Nov-16,Arkansas,Searcy (county),N/A,1,0,N/A,Accidental,Adult
20-Nov-16,Louisiana,Many (Sabine),N/A,1,0,N/A,Accidental,Adult
20-Nov-16,Virginia,Dinwiddie (county),I-85,1,0,N/A,Accidental,Adult
17-Nov-16,New Jersey,Trenton (Hamilton Township),2000 block of Genesee Street,1,0,N/A,Accidental,Adult
16-Nov-16,Arkansas,Bentonville,Punkin Hollow and Miller Church Roads,1,0,N/A,Accidental,Adult
15-Nov-16,Montana,Park (county),Daisy Dean Road,1,0,N/A,Accidental,Adult
13-Nov-16,Colorado,Park (county),N/A,1,0,N/A,Accidental,Adult
13-Nov-16,Georgia,Jasper (county),Highway 16,1,0,N/A,Accidental,Adult
13-Nov-16,Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A,Accidental,Adult
12-Nov-16,South Carolina,Union,200 block of Wilson Road,1,0,N/A,Accidental,Adult
12-Nov-16,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,N/A,Accidental,Adult
12-Nov-16,Montana,Libby,N/A,1,0,N/A,Accidental,Adult
12-Nov-16,Colorado,La Salle,18000 block of County Road 43,1,0,N/A,Accidental,Adult
12-Nov-16,South Carolina,Summerton,1500 block of Homeward Way,1,0,N/A,Accidental,Adult
11-Nov-16,Minnesota,Winona,300 block of East 3rd Street,1,0,N/A,Accidental,Adult
11-Nov-16,Oklahoma,Fort Towson,N/A,1,0,N/A,Accidental,Adult
10-Nov-16,California,Burbank,2500 North Hollywood Way,1,0,N/A,Accidental,Adult
10-Nov-16,Oregon,Salem,N/A,1,0,N/A,Accidental,Adult
08-Nov-16,Virginia,Hampton,500 block of Pennsylvania Ave,1,0,N/A,Accidental,Adult
08-Nov-16,Michigan,Muskegon (county),Johnston Street,1,0,N/A,Accidental,Adult
07-Nov-16,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0,N/A,Accidental,Adult
07-Nov-16,Minnesota,Little Falls (Belle Prairie Township),Hawthorne and Jewel Road,1,0,N/A,Accidental,Adult
07-Nov-16,Florida,Pinellas Park,5000 block of 75th Avenue,1,0,N/A,Accidental,Adult
07-Nov-16,California,Lancaster,1700 block of East Avenue J,1,0,N/A,Accidental,Adult
07-Nov-16,North Carolina,Statesville,100 block of Treeline Drive,1,0,N/A,Accidental,Adult
07-Nov-16,Minnesota,Cloquet,N/A,1,0,N/A,Accidental,Adult
06-Nov-16,New York,Elma,Dorris Drive,1,0,N/A,Accidental,Adult
06-Nov-16,Georgia,Atlanta,1800 block of Charleston Avenue,1,0,N/A,Accidental,Adult
