incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
23-Nov-16,West Virginia,Troy,Highway 47 West,1,0,N/A,Accidental,Child
13-Nov-16,Colorado,Park (county),N/A,1,0,N/A,Accidental,Child
13-Nov-16,Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A,Accidental,Child
12-Nov-16,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,N/A,Accidental,Child
04-Nov-16,Kansas,Kansas City,7569 State Avenue,1,0,N/A,Accidental,Child
29-Oct-16,Ohio,Toledo,123 Rockingham Street,1,0,N/A,Accidental,Child
27-Oct-16,Missouri,Kansas City,18th and Topping,1,0,N/A,Accidental,Child
20-Oct-16,California,Stockton,8926 Ledgewood Avenue,1,0,N/A,Accidental,Child
13-Oct-16,Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,N/A,Accidental,Child
01-Oct-16,Georgia,Mcdonough,961 King Mill Road,1,0,N/A,Accidental,Child
30-Sep-16,Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,N/A,Accidental,Child
28-Sep-16,Arizona,Avondale,525 E Harrison Dr,1,0,N/A,Accidental,Child
18-Sep-16,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,1,0,N/A,Accidental,Child
18-Sep-16,Florida,Tampa,6727 S. Lois Ave.,1,0,N/A,Accidental,Child
12-Sep-16,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,N/A,Accidental,Child
11-Sep-16,Kentucky,Louisville,1600 block of Brashear Drive,1,0,N/A,Accidental,Child
01-Sep-16,South Carolina,Columbia,228 Meredith Square,1,2,N/A,Accidental,Child
28-Aug-16,Kentucky,Louisville,3015 Penway Ave,1,0,N/A,Accidental,Child
25-Aug-16,Tennessee,Parrottsville,Shenandoah Way,1,0,N/A,Accidental,Child
18-Aug-16,Montana,Belgrade,1005 Cardinal Dr,1,0,N/A,Accidental,Child
15-Aug-16,Mississippi,Byhalia,95 Rebecca Drive,1,0,N/A,Accidental,Child
14-Aug-16,Iowa,Garner,2194 Sioux Ave,1,0,N/A,Accidental,Child
13-Aug-16,Virginia,Danville,800 block of Edmonds Street,1,0,N/A,Accidental,Child
08-Aug-16,Tennessee,Hendersonville,118 Shady View Drive,1,0,N/A,Accidental,Child
06-Aug-16,Idaho,Weiser,Macomb Road,1,0,N/A,Accidental,Child
02-Aug-16,South Carolina,Coward,4312 Circle Drive,1,1,N/A,Accidental,Child
02-Aug-16,Louisiana,Marrero,2000 block of Fernando Court,1,0,N/A,Accidental,Child
31-Jul-16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A,Accidental,Child
26-Jul-16,Texas,Houston,9700 block of Shady Tree Ln,1,0,N/A,Accidental,Child
20-Jul-16,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,N/A,Accidental,Child
18-Jul-16,South Carolina,Gaston,2400 block of Glenn Road,1,0,N/A,Accidental,Child
16-Jul-16,Ohio,Cincinnati,6200 block of Chandler Street,1,0,N/A,Accidental,Child
