incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
31-Dec-14,California,Los Angeles,81st Street and Western Avenue,1,3,N/A,Mass Shooting,
29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4,N/A,Mass Shooting,
27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3,N/A,Mass Shooting,
27-Dec-14,California,Sacramento,4000 block of May Street,0,4,N/A,Mass Shooting,
26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,N/A,Mass Shooting,
24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3,N/A,Mass Shooting,
23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3,N/A,Mass Shooting,
22-Dec-14,New York,Webster,191 Lake Road,3,2,N/A,Mass Shooting,
22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3,N/A,Mass Shooting,
22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5,N/A,Mass Shooting,
21-Dec-14,Florida,Sarasota,South Washington Boulevard,2,2,N/A,Mass Shooting,
21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4,N/A,Mass Shooting,
21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8,N/A,Mass Shooting,
20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0,N/A,Mass Shooting,
16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4,N/A,Mass Shooting,
14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,N/A,Mass Shooting,
13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5,N/A,Mass Shooting,
12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4,N/A,Mass Shooting,
12-Dec-14,Georgia,Macon,2822 Bloomfield Drive,3,3,N/A,Mass Shooting,
07-Dec-14,Indiana,South Bend,16000 block of Roosevelt Road,0,4,N/A,Mass Shooting,
02-Dec-14,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,N/A,Mass Shooting,
02-Dec-14,Virginia,Newport News,6128 Jefferson Ave ,0,5,N/A,Mass Shooting,
30-Nov-14,New York,Brooklyn,375 Remsen Avenue,0,4,N/A,Mass Shooting,
30-Nov-14,Tennessee,Chattanooga,2412 East 13th Street ,0,5,N/A,Mass Shooting,
29-Nov-14,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,N/A,Mass Shooting,
29-Nov-14,New Jersey,Newark,348 S Orange Ave,1,3,N/A,Mass Shooting,
28-Nov-14,Tennessee,Memphis,1849 East Brooks Road ,0,4,N/A,Mass Shooting,
27-Nov-14,Texas,Weir,County Road 934,2,3,N/A,Mass Shooting,
26-Nov-14,California,San Francisco,Mission and 13th streets,0,6,N/A,Mass Shooting,
23-Nov-14,Virginia,Accomack County,Parksley Road,0,4,N/A,Mass Shooting,
23-Nov-14,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,N/A,Mass Shooting,
22-Nov-14,Ohio,Cleveland,1400 block of East 92nd Street,4,1,N/A,Mass Shooting,
22-Nov-14,South Dakota,Sisseton,Fourth Avenue,4,1,N/A,Mass Shooting,
22-Nov-14,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,N/A,Mass Shooting,
21-Nov-14,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,N/A,Mass Shooting,
19-Nov-14,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,N/A,Mass Shooting,
18-Nov-14,Nevada,North Las Vegas,Englestad Street,0,4,N/A,Mass Shooting,
16-Nov-14,Ohio,Akron,1891 East Market Street,1,4,N/A,Mass Shooting,
16-Nov-14,Texas,El Paso,115 S. Durango,0,6,N/A,Mass Shooting,
15-Nov-14,Missouri,Springfield,2555 N. Glenstone,4,0,N/A,Mass Shooting,
15-Nov-14,Florida,Miami,NW 55th and 12th,1,3,N/A,Mass Shooting,
08-Nov-14,California,Pomona,499 E. Arrow Highway,0,5,N/A,Mass Shooting,
07-Nov-14,California,Compton,136th Street ,0,4,N/A,Mass Shooting,
07-Nov-14,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,N/A,Mass Shooting,
05-Nov-14,California,San Francisco,1100 block of Alabama Street ,0,4,N/A,Mass Shooting,
29-Oct-14,Tennessee,Memphis,Yale Road and Ramill Road,0,5,N/A,Mass Shooting,
26-Oct-14,Kentucky,Cadiz,1410 Old Dover Road,4,0,N/A,Mass Shooting,
24-Oct-14,Washington,Marysville,5611 108th St Ne,5,1,N/A,Mass Shooting,
24-Oct-14,California,Sacramento,2030 Arden Way,2,3,N/A,Mass Shooting,
18-Oct-14,New York,Queens,33-02 Queens Blvd,0,4,N/A,Mass Shooting,
18-Oct-14,South Carolina,Graniteville,192 Breezy Hill Road,1,3,N/A,Mass Shooting,
18-Oct-14,New York,Brooklyn,Lenox Road,0,4,N/A,Mass Shooting,
16-Oct-14,Michigan,Detroit,Mogul Street,1,3,N/A,Mass Shooting,
14-Oct-14,Georgia,Peachtree Corners,6505 Bannor Lane,3,2,N/A,Mass Shooting,
13-Oct-14,Georgia,Atlanta,85 Mount Zion Road,0,4,N/A,Mass Shooting,
12-Oct-14,California,Stockton,1100 block of East March Lane,3,1,N/A,Mass Shooting,
12-Oct-14,Georgia,Atlanta,Arthur Langford Jr Place,1,3,N/A,Mass Shooting,
11-Oct-14,New York,Utica,222 Bleecker Street,0,5,N/A,Mass Shooting,
08-Oct-14,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,N/A,Mass Shooting,
08-Oct-14,New York,Guilderland,1846 Western Ave,4,0,N/A,Mass Shooting,
05-Oct-14,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,N/A,Mass Shooting,
05-Oct-14,Florida,Jacksonville,7300 block of Linda Drive,3,1,N/A,Mass Shooting,
04-Oct-14,Tennessee,Memphis,1400 block of Gherald Street,2,2,N/A,Mass Shooting,
04-Oct-14,California,Pomona,1925 West Holt Avenue ,0,4,N/A,Mass Shooting,
29-Sep-14,South Carolina,Walterboro,29 Sandy Dam Lane,1,7,N/A,Mass Shooting,
29-Sep-14,California,Fresno,2300 block of West Fountain Way ,0,4,N/A,Mass Shooting,
28-Sep-14,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,N/A,Mass Shooting,
28-Sep-14,Florida,Miami,NW 7th Ave and NW 64th Street,0,15,N/A,Mass Shooting,
27-Sep-14,Missouri,Saint Louis,2000 block East John Avenue,0,5,N/A,Mass Shooting,
26-Sep-14,South Carolina,Darlington County,600 block of Turner Road,1,4,N/A,Mass Shooting,
21-Sep-14,Ohio,East Liverpool,440 First St,0,4,N/A,Mass Shooting,
20-Sep-14,Mississippi,Panola County,N/A,2,2,N/A,Mass Shooting,
19-Sep-14,New York,Queens,32-14 106th St,0,4,N/A,Mass Shooting,
18-Sep-14,Florida,Bell,NW 30th Street and NW 39th Terrace,8,0,N/A,Mass Shooting,
15-Sep-14,Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,N/A,Mass Shooting,
14-Sep-14,Texas,Flour Bluff,229 Naval Air Station Drive,3,1,N/A,Mass Shooting,
14-Sep-14,Alaska,Anchorage,225 E Fifth,0,6,N/A,Mass Shooting,
11-Sep-14,Michigan,Detroit,14000 block of Patton,1,7,N/A,Mass Shooting,
06-Sep-14,Georgia,Macon,576 Poplar Street,0,5,N/A,Mass Shooting,
06-Sep-14,Florida,Orange County,South Orange Blossom Trail,0,4,N/A,Mass Shooting,
04-Sep-14,Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,N/A,Mass Shooting,
03-Sep-14,California,Los Angeles,East 27th and Stanford ,0,6,N/A,Mass Shooting,
02-Sep-14,California,Highland,25000 block of Fifth Street ,0,5,N/A,Mass Shooting,
02-Sep-14,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,N/A,Mass Shooting,
31-Aug-14,California,Livermore,200 block of South Q Street ,0,5,N/A,Mass Shooting,
29-Aug-14,Florida,Brooksville,820 Peach St,3,1,N/A,Mass Shooting,
27-Aug-14,Michigan,Detroit,16600 block of Edmore,1,3,N/A,Mass Shooting,
24-Aug-14,California,San Fernando,1400 block of Celis Street ,3,4,N/A,Mass Shooting,
24-Aug-14,Illinois,Chicago,8300 block of South Halsted Street,1,3,N/A,Mass Shooting,
24-Aug-14,Georgia,Augusta,1013 Carrie Street,1,3,N/A,Mass Shooting,
20-Aug-14,Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,N/A,Mass Shooting,
18-Aug-14,Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,N/A,Mass Shooting,
17-Aug-14,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,N/A,Mass Shooting,
17-Aug-14,Nevada,Las Vegas,Owens Avenue and H Street,0,4,N/A,Mass Shooting,
17-Aug-14,New York,Queens,153-38 118th Ave,0,4,N/A,Mass Shooting,
17-Aug-14,Massachusetts,Boston,Edinboro Street,0,4,N/A,Mass Shooting,
16-Aug-14,New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,N/A,Mass Shooting,
16-Aug-14,Utah,Salt Lake City,122 Pierpont Avenue,0,6,N/A,Mass Shooting,
14-Aug-14,Tennessee,Memphis,797 Pope Street,1,3,N/A,Mass Shooting,
13-Aug-14,Tennessee,Clarksville,Treeland Drive,0,4,N/A,Mass Shooting,
13-Aug-14,Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,N/A,Mass Shooting,
12-Aug-14,New York,Buffalo,Oakmont Avenue,1,3,N/A,Mass Shooting,
12-Aug-14,Georgia,Bartow County,Brent Circle,2,3,N/A,Mass Shooting,
10-Aug-14,California,Moreno Valley,16300 block of Heather Glen Road ,0,7,N/A,Mass Shooting,
10-Aug-14,District of Columbia,Washington,N Street SW,0,6,N/A,Mass Shooting,
10-Aug-14,Georgia,Wrightsville,N/A,0,6,N/A,Mass Shooting,
10-Aug-14,Louisiana,New Orleans,5400 block of Burgundy Street,2,5,N/A,Mass Shooting,
09-Aug-14,Minnesota,Minneapolis,400 3rd Ave N,1,8,N/A,Mass Shooting,
08-Aug-14,Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,N/A,Mass Shooting,
08-Aug-14,New Mexico,Albuquerque,3426 Vassar NE,1,3,N/A,Mass Shooting,
08-Aug-14,District of Columbia,Washington,Second Street and Todd Place NE,0,4,N/A,Mass Shooting,
06-Aug-14,California,Bakersfield,1700 block of Quincy Street ,3,1,N/A,Mass Shooting,
04-Aug-14,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,N/A,Mass Shooting,
03-Aug-14,Texas,Spring,T.C Jester and FM 1960,0,7,N/A,Mass Shooting,
03-Aug-14,Missouri,Saint Louis,5200 block of Thekla ,0,5,N/A,Mass Shooting,
03-Aug-14,Virginia,Culpeper,4400 block of Rixeyville Road,5,0,N/A,Mass Shooting,
03-Aug-14,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,N/A,Mass Shooting,
02-Aug-14,Texas,Dallas,5125 Wynell Street,3,1,N/A,Mass Shooting,
02-Aug-14,Massachusetts,New Bedford,Acushnet Avenue,0,7,N/A,Mass Shooting,
02-Aug-14,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,N/A,Mass Shooting,
