incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
22-Nov-16,Indiana,Anderson,1600 block of West 7th Street,1,0,N/A,Accidental,Teen
22-Nov-16,Virginia,Christiansburg,700 block of Dabney Road,1,0,N/A,Accidental,Teen
12-Nov-16,Colorado,La Salle,18000 block of County Road 43,1,0,N/A,Accidental,Teen
11-Nov-16,Oklahoma,Fort Towson,N/A,1,0,N/A,Accidental,Teen
08-Nov-16,Virginia,Hampton,500 block of Pennsylvania Ave,1,0,N/A,Accidental,Teen
07-Nov-16,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0,N/A,Accidental,Teen
06-Nov-16,Georgia,Atlanta,1800 block of Charleston Avenue,1,0,N/A,Accidental,Teen
30-Oct-16,Pennsylvania,Norristown,600 block of George Street,1,0,N/A,Accidental,Teen
22-Oct-16,Louisiana,Larose,East Avenue C,1,0,N/A,Accidental,Teen
16-Oct-16,Washington,Yacolt,34900 block of NE Thompson Road,1,0,N/A,Accidental,Teen
16-Oct-16,North Dakota,Bismarck,106th St SE,1,0,N/A,Accidental,Teen
11-Oct-16,Georgia,Acworth,4800 block of Ryan Road,1,0,N/A,Accidental,Teen
09-Oct-16,South Carolina,Aynor,Garner Road,1,0,N/A,Accidental,Teen
07-Oct-16,Georgia,Richmond (county),Done Roven Road,1,0,N/A,Accidental,Teen
03-Oct-16,North Dakota,Sanborn,N/A,1,0,N/A,Accidental,Teen
29-Sep-16,Texas,Fort Worth,3712 North Elm Street,1,0,N/A,Accidental,Teen
27-Sep-16,Iowa,Cedar Rapids,800 block of 15th Street SE,1,0,N/A,Accidental,Teen
22-Sep-16,Maryland,Bladensburg,4200 block of 58th Avenue,1,0,N/A,Accidental,Teen
17-Sep-16,Alaska,Juneau,3000 block of Mountainwood Circle,1,0,N/A,Accidental,Teen
14-Sep-16,Texas,Bexar (county),N/A,1,0,N/A,Accidental,Teen
08-Sep-16,California,Rosamond,2600 block of 25th Street West,1,0,N/A,Accidental,Teen
05-Sep-16,Texas,San Benito,200 block of Los Ranchitos,1,0,N/A,Accidental,Teen
05-Sep-16,Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0,N/A,Accidental,Teen
28-Aug-16,Kentucky,Louisville,3015 Penway Ave,1,0,N/A,Accidental,Teen
27-Aug-16,Texas,San Benito,500 block of Doherty Street,1,0,N/A,Accidental,Teen
15-Aug-16,Florida,Naples,1900 Tamiami Trail N,1,0,N/A,Accidental,Teen
12-Aug-16,Pennsylvania,Mountville,17 West Main Street,1,0,N/A,Accidental,Teen
06-Aug-16,North Carolina,Shelby,105 Lindsey Lee Ln,1,0,N/A,Accidental,Teen
05-Aug-16,Illinois,Chicago,2700 block of West Evergreen Avenue,1,0,N/A,Accidental,Teen
02-Aug-16,South Carolina,Coward,4312 Circle Drive,1,1,N/A,Accidental,Teen
02-Aug-16,Ohio,Columbus,400 block of East Markison Avenue,1,0,N/A,Accidental,Teen
01-Aug-16,Oklahoma,Ardmore,1200 block of L Street,1,0,N/A,Accidental,Teen
31-Jul-16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A,Accidental,Teen
30-Jul-16,New York,Elmira,200 block of West Hudson Street,1,0,N/A,Accidental,Teen
26-Jul-16,Texas,San Antonio,3600 block of Callaghan Road,1,0,N/A,Accidental,Teen
25-Jul-16,Arizona,Tempe,1000 E Orange Street,1,0,N/A,Accidental,Teen
22-Jul-16,Indiana,Huntingburg,202 N. Main St.,1,0,N/A,Accidental,Teen
19-Jul-16,Texas,Alvin,3400 block of Oxford,1,0,N/A,Accidental,Teen
15-Jul-16,Florida,Tallahassee,2684 Tess Circle,1,0,N/A,Accidental,Teen
15-Jul-16,Texas,Houston,Sageland Drive,1,0,N/A,Accidental,Teen
08-Jul-16,Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0,N/A,Accidental,Teen
06-Jul-16,Alabama,Toney,2500 block of Alabama 251,1,0,N/A,Accidental,Teen
03-Jul-16,Florida,Sarasota,4583 Bee Ridge Road,1,0,N/A,Accidental,Teen
03-Jul-16,Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0,N/A,Accidental,Teen
29-Jun-16,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0,N/A,Accidental,Teen
28-Jun-16,Texas,San Antonio,8600 block of Star Creek Drive,1,0,N/A,Accidental,Teen
27-Jun-16,Arizona,Phoenix,1600 block of West Missouri Avenue,1,0,N/A,Accidental,Teen
22-Jun-16,Indiana,Indianapolis,3300 block of Wallace Avenue,1,0,N/A,Accidental,Teen
22-Jun-16,Georgia,Adel,800 block of Guy Street,1,0,N/A,Accidental,Teen
17-Jun-16,Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0,N/A,Accidental,Teen
13-Jun-16,West Virginia,Fairmont,Cleveland Avenue,1,0,N/A,Accidental,Teen
11-Jun-16,Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0,N/A,Accidental,Teen
07-Jun-16,Michigan,Detroit,5300 block of Radnor,1,0,N/A,Accidental,Teen
06-Jun-16,Georgia,Hawkinsville,18 Franklin Street,1,0,N/A,Accidental,Teen
06-Jun-16,Maryland,Annapolis,1300 block of Tyler Avenue,1,0,N/A,Accidental,Teen
03-Jun-16,Missouri,Saint Louis,9500 block of Page Ave,1,0,N/A,Accidental,Teen
03-Jun-16,Colorado,Aurora,1575 Galena Street,1,0,N/A,Accidental,Teen
03-Jun-16,Illinois,Chicago,3500 block of South Parnell Avenue,1,0,N/A,Accidental,Teen
25-May-16,Washington,Seattle,6000 block of High Point Drive SW,1,0,N/A,Accidental,Teen
19-May-16,New York,Bronx,810 Astor Avenue,1,0,N/A,Accidental,Teen
14-May-16,Florida,Alford,Compass Lake Drive,1,0,N/A,Accidental,Teen
10-May-16,Louisiana,Shreveport,1100 block of Wilkinson Street,1,0,N/A,Accidental,Teen
19-Apr-16,California,Sacramento,7800 block of Sunrise Greens Drive,1,0,N/A,Accidental,Teen
14-Apr-16,California,Victorville,13000 block of Bennington Drive,1,0,N/A,Accidental,Teen
10-Apr-16,North Carolina,Granite Falls,Baton Church Road,1,0,N/A,Accidental,Teen
02-Apr-16,South Carolina,Rock Hill,800 block of Horseman Drive,1,0,N/A,Accidental,Teen
31-Mar-16,North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0,N/A,Accidental,Teen
28-Mar-16,Georgia,Douglas,900 block of South Coffee Avenue,1,0,N/A,Accidental,Teen
27-Mar-16,Mississippi,Brookhaven,Highway 550,1,0,N/A,Accidental,Teen
25-Mar-16,Hawaii,Mountain View,Oshiro Road,1,0,N/A,Accidental,Teen
20-Mar-16,Pennsylvania,Mount Pleasant,151 South Church St,1,0,N/A,Accidental,Teen
19-Mar-16,Florida,Apopka,1008 Sheeler Hills Drive,1,0,N/A,Accidental,Teen
18-Mar-16,Iowa,Cedar Rapids,1424 Bever Ave. SE,1,0,N/A,Accidental,Teen
17-Mar-16,South Carolina,Bennettsville,Spencer Street,1,0,N/A,Accidental,Teen
14-Mar-16,Texas,Bridgeport,County Road 3825,1,0,N/A,Accidental,Teen
14-Mar-16,West Virginia,Beckley,Bethel Road,1,0,N/A,Accidental,Teen
14-Mar-16,Missouri,Kansas City,North Flora and Northeast 80th Street,1,0,N/A,Accidental,Teen
12-Mar-16,Iowa,Oskaloosa,1593 290th Street,1,0,N/A,Accidental,Teen
07-Mar-16,West Virginia,Morgantown,Church Hill Drive,1,0,N/A,Accidental,Teen
06-Mar-16,Mississippi,Laurel,County Road 237,1,0,N/A,Accidental,Teen
05-Mar-16,South Dakota,Yankton,East Side Drive,1,0,N/A,Accidental,Teen
27-Feb-16,Florida,Miami Gardens,2200 block of Northwest 172nd Terrace,1,0,N/A,Accidental,Teen
21-Feb-16,Florida,Fountain,11601 Nonawood Road,1,0,N/A,Accidental,Teen
21-Feb-16,Mississippi,Philadelphia,Highway 16 West Pearl River Resort - Choctaw,1,0,N/A,Accidental,Teen
20-Feb-16,Ohio,Cleveland,N/A,1,0,N/A,Accidental,Teen
19-Feb-16,Louisiana,Baton Rouge,2138 Tennessee Street,1,0,N/A,Accidental,Teen
18-Feb-16,Louisiana,Baton Rouge,3811 Bradley Street,1,0,N/A,Accidental,Teen
13-Feb-16,Nevada,Las Vegas,Buffalo and Vegas Drive,1,0,N/A,Accidental,Teen
11-Feb-16,Georgia,Lawrenceville,1600 block of Balvaird Drive,1,0,N/A,Accidental,Teen
11-Feb-16,New York,Brooklyn,703 Miller Avenue,1,0,N/A,Accidental,Teen
08-Feb-16,Florida,Orlando,4700 block of Spottswood Drive,1,0,N/A,Accidental,Teen
30-Jan-16,Georgia,Atlanta,Meadowglen Village Lane,1,0,N/A,Accidental,Teen
25-Jan-16,Texas,Baytown,4100 block of Tumbleweed,2,0,N/A,Accidental,Teen
25-Jan-16,Kentucky,White Plains,Farmers Crossing Road,1,0,N/A,Accidental,Teen
22-Jan-16,Florida,Delray Beach (West Delray Beach),8000 block of Sawpine Drive,1,0,N/A,Accidental,Teen
20-Jan-16,Indiana,Charlestown,Sycamore Drive and Cottonwood Lane,1,0,N/A,Accidental,Teen
17-Jan-16,Missouri,Saint Louis (St Louis),5300 block of Patton Ave,1,0,N/A,Accidental,Teen
16-Jan-16,Louisiana,Baton Rouge,1915 Birch Street,1,0,N/A,Accidental,Teen
16-Jan-16,Texas,Houston,5203 Dumfries Drive,1,0,N/A,Accidental,Teen
14-Jan-16,Pennsylvania,Hummelstown,200 block of West Main Street,1,0,N/A,Accidental,Teen
12-Jan-16,Ohio,Cincinnati,1200 block of Blanchard Avenue,1,0,N/A,Accidental,Teen
11-Jan-16,Pennsylvania,Duncannon,11D Rebecca Drive,1,1,N/A,Accidental,Teen
09-Jan-16,Alabama,Auburn,400 block of Webster Road,1,0,N/A,Accidental,Teen
09-Jan-16,Alabama,Mobile,2100 block of Agate Avenue,1,0,N/A,Accidental,Teen
04-Jan-16,Tennessee,Memphis,1400 block of Briercrest Lane,2,1,N/A,Accidental,Teen
31-Dec-15,Mississippi,Rolling Fork,68 Frontage Road,1,0,N/A,Accidental,Teen
30-Dec-15,Georgia,Lithonia,4500 block of Idlewood Park,1,0,N/A,Accidental,Teen
24-Dec-15,Tennessee,Nashville,400 block of Wilclay Drive,1,0,N/A,Accidental,Teen
22-Dec-15,Wisconsin,Beloit,212 8th Street,1,0,N/A,Accidental,Teen
21-Dec-15,Pennsylvania,Pittsburgh,200-block of Mathilda Street,3,0,N/A,Accidental,Teen
21-Dec-15,Missouri,Poplar Bluff,500 section of County Road 42222,1,0,N/A,Accidental,Teen
19-Dec-15,Louisiana,Thibodaux,117 Violet St,1,0,N/A,Accidental,Teen
19-Dec-15,Mississippi,Magee,N/A,1,0,N/A,Accidental,Teen
18-Dec-15,Louisiana,Patterson,Grandwood Drive,1,0,N/A,Accidental,Teen
13-Dec-15,Mississippi,Natchez,Mount Carmel Road,1,0,N/A,Accidental,Teen
13-Dec-15,Missouri,Kansas City,Interstate 435 and Winner Road,1,0,N/A,Accidental,Teen
12-Dec-15,Florida,Tampa,4611 E Whiteway Drive,1,0,N/A,Accidental,Teen
10-Dec-15,Texas,Universal City,300 block of Madrid,1,0,N/A,Accidental,Teen
05-Dec-15,Colorado,Englewood,South Santa Fe Drive,1,0,N/A,Accidental,Teen
04-Dec-15,Louisiana,Baton Rouge,2323 Spain St,1,0,N/A,Accidental,Teen
03-Dec-15,Texas,Webb (county),Farm to Market 2050 Rd,1,0,N/A,Accidental,Teen
29-Nov-15,Minnesota,Itasca (county),E. Natures Trail,1,0,N/A,Accidental,Teen
28-Nov-15,Arkansas,Jonesboro,710 N. Caraway Road,1,0,N/A,Accidental,Teen
27-Nov-15,Florida,West Palm Beach,1601 W 37th St,1,0,N/A,Accidental,Teen
24-Nov-15,Ohio,Toledo,100 block of East Carleton,0,2,N/A,Accidental,Teen
19-Nov-15,Virginia,Bohannon,The Long Ln and Myrtle Grove Ln,1,0,N/A,Accidental,Teen
19-Nov-15,Louisiana,Saint Gabriel (Iberville),Stassi Rd.,1,0,N/A,Accidental,Teen
15-Nov-15,Pennsylvania,York,200 block of North Richland Avenue,1,0,N/A,Accidental,Teen
14-Nov-15,Arkansas,Lockesburg,376 Arkansas 24,1,0,N/A,Accidental,Teen
12-Nov-15,New York,Bronx,363 East 171st Street,1,0,N/A,Accidental,Teen
07-Nov-15,California,Los Angeles,3500 block of Cesar Chavez Avenue,1,0,N/A,Accidental,Teen
23-Oct-15,Louisiana,Alexandria,N/A,1,0,N/A,Accidental,Teen
18-Oct-15,Illinois,Effingham,3200 block of South Banker Street,1,0,N/A,Accidental,Teen
17-Oct-15,Ohio,Pandora,13915 Road 3,1,0,N/A,Accidental,Teen
17-Oct-15,Idaho,Meridian,2300 block of E. Franklin Road,1,0,N/A,Accidental,Teen
15-Oct-15,South Carolina,Anderson,Dalrymple Road,1,0,N/A,Accidental,Teen
15-Oct-15,Nevada,Las Vegas,3300 Bridge House Street,1,0,N/A,Accidental,Teen
13-Oct-15,Louisiana,Baton Rouge,Hooper Road,1,0,N/A,Accidental,Teen
10-Oct-15,Maryland,Henderson,Ell Downes Road,1,0,N/A,Accidental,Teen
05-Oct-15,Georgia,Union City,4300 Flat Shoals Road,1,0,N/A,Accidental,Teen
04-Oct-15,California,Exeter,Horse Meadow,1,0,N/A,Accidental,Teen
03-Oct-15,Michigan,Detroit,14000 block of Steel Street,1,0,N/A,Accidental,Teen
02-Oct-15,Ohio,Carrollton,8400 block of Bay Road,1,0,N/A,Accidental,Teen
02-Oct-15,Florida,Jacksonville,Bullfinch Court,1,0,N/A,Accidental,Teen
26-Sep-15,Indiana,Evansville,500 block of S. Linwood,1,0,N/A,Accidental,Teen
23-Sep-15,Texas,San Antonio,1700 block of South Hamilton Street,1,0,N/A,Accidental,Teen
13-Sep-15,Colorado,Cedaredge (Grand Mesa),N/A,1,0,N/A,Accidental,Teen
12-Sep-15,Georgia,Forsyth,175 Rumble Road,1,0,N/A,Accidental,Teen
11-Sep-15,Kansas,Fort Riley,N/A,1,0,N/A,Accidental,Teen
24-Aug-15,Arizona,Buckeye,N/A,1,0,N/A,Accidental,Teen
24-Aug-15,Georgia,Ringgold,385 Edgemond Circle,1,0,N/A,Accidental,Teen
20-Aug-15,Georgia,Thomaston,105 Third St,1,0,N/A,Accidental,Teen
20-Aug-15,Texas,Fort Worth (Benbrook),5600 block of Shallow Run,1,0,N/A,Accidental,Teen
20-Aug-15,South Carolina,Charleston,7400 block of Northside Drive,1,0,N/A,Accidental,Teen
13-Aug-15,Florida,Hollywood,5321 NW 27th Place,1,0,N/A,Accidental,Teen
12-Aug-15,Illinois,Chicago,700 block of North Homan,1,0,N/A,Accidental,Teen
10-Aug-15,Kentucky,Catlettsburg,600 block of 28th Street,1,0,N/A,Accidental,Teen
09-Aug-15,Florida,Pomona Park,110 Pine Ave,1,0,N/A,Accidental,Teen
06-Aug-15,Pennsylvania,Smicksburg,381 Whitaker Rd,1,0,N/A,Accidental,Teen
06-Aug-15,Pennsylvania,Smicksburg,Whitaker Road,1,0,N/A,Accidental,Teen
05-Aug-15,Tennessee,Springfield,Clinard Road,1,0,N/A,Accidental,Teen
30-Jul-15,Kentucky,Louisville,9700 block of Hudson Lane,1,0,N/A,Accidental,Teen
30-Jul-15,Florida,Fort Lauderdale (Cooper City),10000 41st Street,1,0,N/A,Accidental,Teen
27-Jul-15,Colorado,Pueblo,2100 block of E. 14th Street,1,0,N/A,Accidental,Teen
26-Jul-15,North Carolina,Catawba (county),2800 block of Rocky Ford Road,1,0,N/A,Accidental,Teen
20-Jul-15,Wisconsin,Cassville,11129 Saint Charles Rd,1,0,N/A,Accidental,Teen
20-Jul-15,Texas,Fresno,1000 block of Cove Crest Trail,1,0,N/A,Accidental,Teen
16-Jul-15,Texas,San Antonio,5400 block of War Cloud Drive,1,0,N/A,Accidental,Teen
15-Jul-15,Ohio,Salem,6746 Salem Township Highway 103,1,0,N/A,Accidental,Teen
12-Jul-15,Connecticut,Berlin,65 Division Street,1,0,N/A,Accidental,Teen
26-Jun-15,Massachusetts,Billerica,300 block of Andover Road,1,0,N/A,Accidental,Teen
22-Jun-15,Arkansas,Blytheville,700-block of East McHaney Drive,1,0,N/A,Accidental,Teen
12-Jun-15,Illinois,Chicago,4700 block of West Addison Street,1,0,N/A,Accidental,Teen
03-Jun-15,Ohio,Hamilton,700 block of Fairview Avenue,1,0,N/A,Accidental,Teen
23-May-15,Arkansas,Pine Bluff,1400 block of Cherry Street,1,0,N/A,Accidental,Teen
22-May-15,Michigan,Kalamazoo,700 block of Dwight Street,1,0,N/A,Accidental,Teen
16-May-15,California,Perris,140 block of Metz Road,1,0,N/A,Accidental,Teen
11-May-15,Washington,Tacoma,9210 South Hosmer Street,1,0,N/A,Accidental,Teen
10-May-15,Ohio,Leavittsburg,205 Ruth Ave,1,0,N/A,Accidental,Teen
03-May-15,Minnesota,Minneapolis,4100 block of Fremont Avenue North,1,0,N/A,Accidental,Teen
01-May-15,California,Klamath,100 block of Klamath Boulevard,1,0,N/A,Accidental,Teen
