Category,Amount,Type,Size,Total
Blunt Object,51504,Crimes solved,3.839599222,448172
Strangulation,4409,Crimes solved,0.328688897,448172
Unknown weapon,18409,Crimes solved,1.372382379,448172
Rifle,19946,Crimes solved,1.486965014,448172
Knife,74758,Crimes solved,5.573174096,448172
Firearm,24402,Crimes solved,1.819157739,448172
Shotgun,26040,Crimes solved,1.941269877,448172
Fall,166,Crimes solved,0.012375223,448172
Handgun,216938,Crimes solved,16.1726269,448172
Drowning,999,Crimes solved,0.074474985,448172
Suffocation,2978,Crimes solved,0.222008514,448172
Explosives,388,Crimes solved,0.028925219,448172
Fire,4139,Crimes solved,0.308560523,448172
Drugs,1396,Crimes solved,0.10407115,448172
Gun,1324,Crimes solved,0.098703584,448172
Poison,376,Crimes solved,0.028030625,448172
Acquaintance,123852,Crimes solved,9.233108939,448172
Unknown,94892,Crimes solved,7.074154422,448172
Wife,23142,Crimes solved,1.725225326,448172
Stranger,87362,Crimes solved,6.512796428,448172
Girlfriend,16413,Crimes solved,1.223581509,448172
Ex-Husband,626,Crimes solved,0.046668009,448172
Brother,5496,Crimes solved,0.409724241,448172
Stepdaughter,754,Crimes solved,0.056210349,448172
Husband,8777,Crimes solved,0.654321264,448172
Sister,1288,Crimes solved,0.0960198,448172
Friend,21718,Crimes solved,1.619066789,448172
Family,9467,Crimes solved,0.705760443,448172
Neighbor,6258,Crimes solved,0.466530987,448172
Father,4353,Crimes solved,0.324514123,448172
In-Law,3628,Crimes solved,0.270465711,448172
Son,9842,Crimes solved,0.733716518,448172
Ex-Wife,1966,Crimes solved,0.146564385,448172
Boyfriend,7288,Crimes solved,0.543317007,448172
Mother,4238,Crimes solved,0.315940927,448172
Common-Law Husband,1947,Crimes solved,0.145147944,448172
Common-Law Wife,2470,Crimes solved,0.18413735,448172
Stepfather,1358,Crimes solved,0.101238268,448172
Stepson,1169,Crimes solved,0.087148406,448172
Stepmother,211,Crimes solved,0.015729952,448172
Daughter,7487,Crimes solved,0.558152364,448172
Boyfriend/Girlfriend,1281,Crimes solved,0.095497954,448172
Employer,509,Crimes solved,0.037945713,448172
Employee,380,Crimes solved,0.028328823,448172
Blunt Object,15833,Crimes unsolved,1.180342779,190282
Strangulation,3701,Crimes unsolved,0.275907827,190282
Unknown weapon,14783,Crimes unsolved,1.102065768,190282
Rifle,3401,Crimes unsolved,0.253542967,190282
Knife,20204,Crimes unsolved,1.506198794,190282
Firearm,22578,Crimes unsolved,1.683179389,190282
Shotgun,4682,Crimes unsolved,0.34904092,190282
Fall,24,Crimes unsolved,0.001789189,190282
Handgun,100546,Crimes unsolved,7.49565749,190282
Drowning,205,Crimes unsolved,0.015282655,190282
Suffocation,990,Crimes unsolved,0.073804039,190282
Explosives,149,Crimes unsolved,0.011107881,190282
Fire,2034,Crimes unsolved,0.151633753,190282
Drugs,192,Crimes unsolved,0.014313511,190282
Gun,882,Crimes unsolved,0.065752689,190282
Poison,78,Crimes unsolved,0.005814864,190282
Acquaintance,2166,Crimes unsolved,0.161474292,190282
Unknown,178121,Crimes unsolved,13.27883762,190282
Wife,45,Crimes unsolved,0.003354729,190282
Stranger,9231,Crimes unsolved,0.688166752,190282
Girlfriend,52,Crimes unsolved,0.003876576,190282
Ex-Husband,3,Crimes unsolved,0.000223649,190282
Brother,18,Crimes unsolved,0.001341892,190282
Stepdaughter,0,Crimes unsolved,0,190282
Husband,26,Crimes unsolved,0.001938288,190282
Sister,4,Crimes unsolved,0.000298198,190282
Friend,227,Crimes unsolved,0.016922744,190282
Family,68,Crimes unsolved,0.005069368,190282
Neighbor,36,Crimes unsolved,0.002683783,190282
Father,8,Crimes unsolved,0.000596396,190282
In-Law,9,Crimes unsolved,0.000670946,190282
Son,62,Crimes unsolved,0.004622071,190282
Ex-Wife,7,Crimes unsolved,0.000521847,190282
Boyfriend,14,Crimes unsolved,0.001043693,190282
Mother,10,Crimes unsolved,0.000745495,190282
Common-Law Husband,7,Crimes unsolved,0.000521847,190282
Common-Law Wife,7,Crimes unsolved,0.000521847,190282
